,groupId,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,UniqueWordCount,avgSD,avgEVC,rank,groupName
230,Rabbinic001,0.026267111,0.024509804,1,0,0.335034014,348,0.591836735,0.003329634,0.013041065,0.008509064,0.014335923,0.03736589,0.001849797,0.01045135,0.181280059,0.710481211,0.511594774,4,Rabbinic
231,Rabbinic038,0.019510329,0.019510329,0,1,0.290909091,200,0.519480519,0.005738332,0.001338944,0.015110941,0.01185922,0.035577659,0.003634277,0.015302219,0.201606733,0.676434884,0.591038862,4,Rabbinic
232,YV07,0.045774648,0.01056338,1,0,0.381818182,75,0.681818182,0.044894366,0.028169014,0.003521127,0.007042254,0.001760563,0.000880282,0.014084507,0.279049296,0.677318404,0.542770124,7,YV
233,YV21,0.02638191,0.011306533,1,0,0.62745098,77,0.754901961,0.031407035,0.040829146,0.001256281,0.001884422,0,0,0.014447236,0.26758794,0.714856143,0.691801209,4,YV
234,Bahai46,0.039306358,0.019653179,1,0,0.390243902,22,0.536585366,0.016184971,0.001156069,0.002312139,0.002312139,0.019653179,0,0.009248555,0.448554913,0.706487057,0.706098457,1,Bahai
235,Rabbinic006,0.017214996,0.015684774,1,0,0.283505155,91,0.469072165,0.001912777,0.001147666,0.007651109,0.013389441,0.022188217,0.001530222,0.02869166,0.249808722,0.666116837,0.651013559,4,Rabbinic
236,Rabbinic015,0.022804205,0.011223944,1,0,0.179545455,172,0.390909091,0.001425263,0.001603421,0.006057367,0.012649207,0.025298414,0.001781578,0.017993943,0.179048637,0.751808007,0.630515099,4,Rabbinic
237,Shepherd175,0.041450777,0.017394523,1,0,0.337423313,126,0.773006135,0.018874907,0.021465581,0.039600296,0.001110289,0.030717987,0.01665433,0.009992598,0.279792746,0.623034442,0.463175748,4,Shepherd
238,DorothyDay044,0.02173913,0.02173913,0,1,0.41509434,43,0.811320755,0.023913043,0.018478261,0.009782609,0.009782609,0.017391304,0,0.014130435,0.402173913,0.788027588,0.691311412,3,DorothyDay
239,Rabbinic004,0.011368334,0.019429516,0,1,0.286127168,169,0.488439306,0.002480364,0.003100455,0.007647788,0.013848698,0.037825548,0.000206697,0.021289789,0.21847871,0.655592789,0.653458934,4,Rabbinic
240,LiberalJudaism034,0.025122349,0.018923328,1,0,0.45890411,130,0.890410959,0.041435563,0.030995106,0.026427406,0.005872757,0.009787928,0.000652529,0.010114192,0.259380098,0.692031512,0.493622629,2,LiberalJudaism
241,ISIS002,0.022058824,0.022058824,0,1,0.684210526,14,0.736842105,0,0,0,0.028186275,0.007352941,0,0.012254902,0.401960784,0.783571778,0.845135206,2,ISIS
242,PastorAnderson044,0.02908078,0.009247911,1,0,0.433287483,587,0.807427785,0.019721448,0.042896936,0.024066852,0.024512535,0.006573816,0.000557103,0.015264624,0.093259053,0.721192446,0.692381912,2,Anderson
243,PastorAnderson227,0.021105142,0.019953952,1,0,0.247644684,511,0.687752355,0.014581734,0.014773599,0.01247122,0.013910207,0.009593246,0.002973906,0.025901765,0.112816577,0.733231535,0.704500331,1,Anderson
244,LiberalJudaism064,0.022442244,0.02640264,0,1,0.434782609,46,0.666666667,0.025082508,0.004620462,0.00660066,0.015181518,0.00330033,0.002640264,0.00990099,0.353135314,0.700161442,0.701418749,1,LiberalJudaism
245,Rabbinic037,0.020581114,0.012510089,1,0,0.25,93,0.438679245,0.001210654,0.001210654,0.008071025,0.007667474,0.049636804,0.000807103,0.012510089,0.244552058,0.709952676,0.598181722,4,Rabbinic
246,MehrBaba054,0.033670034,0.037037037,0,1,0.5,13,0.722222222,0.016835017,0.026936027,0,0.006734007,0,0,0.016835017,0.552188552,0.405426658,0.681792951,3,MehrBaba
247,Shepherd260,0.041718946,0.018506901,1,0,0.126237624,187,0.462871287,0.020702635,0.017252196,0.022898369,0.007528231,0.010037641,0.007528231,0.013174404,0.264742785,0.678082174,0.508677204,3,Shepherd
248,Rabbinic054,0.014964029,0.012661871,1,0,0.301204819,137,0.550200803,0.002302158,0.006330935,0.009496403,0.012374101,0.042877698,0.021294964,0.014388489,0.216978417,0.671311433,0.665808609,4,Rabbinic
